Level,Target,CR,AC,STR,DEX,CON,INT,WIS,CHA,Magic Resistance,Legendary Resistance,Size,Creature Type,Condition Immunities,Damage Resistances,Damage Immunities,Damage Vulnerabilities,HP,Source,Source Page,Source URL
7,Air Elemental,5,15,2,5,2,-2,0,-2,False,0,Large,Elemental,Exhaustion; Grappled; Paralyzed; Petrified; Poisoned; Prone; Restrained; Unconscious,bludgeoning; lightning; piercing; slashing,poison; thunder,,90,SRD 5.2.1,258,https://media.dndbeyond.com/compendium-images/srd/5.2/SRD_CC_v5.2.1.pdf
7,Troll,5,15,4,1,5,-2,-1,-2,False,0,Large,Giant,,,,,94,SRD 5.2.1,333,https://media.dndbeyond.com/compendium-images/srd/5.2/SRD_CC_v5.2.1.pdf
7,Chimera,6,14,4,0,4,-4,2,0,False,0,Large,Monstrosity,,,,,114,SRD 5.2.1,273,https://media.dndbeyond.com/compendium-images/srd/5.2/SRD_CC_v5.2.1.pdf
7,Mage,6,15,-1,2,0,6,4,0,False,0,Medium,Humanoid,,,,,81,SRD 5.2.1,305,https://media.dndbeyond.com/compendium-images/srd/5.2/SRD_CC_v5.2.1.pdf
7,Young Black Dragon,7,18,4,5,3,1,3,2,False,0,Large,Dragon,,,acid,,127,SRD 5.2.1,264,https://media.dndbeyond.com/compendium-images/srd/5.2/SRD_CC_v5.2.1.pdf
7,Stone Giant,7,17,6,5,8,0,4,-1,False,0,Huge,Giant,,,,,126,SRD 5.2.1,330,https://media.dndbeyond.com/compendium-images/srd/5.2/SRD_CC_v5.2.1.pdf
7,Hydra,8,15,5,1,5,-4,0,-2,False,0,Huge,Monstrosity,Blinded; Charmed; Deafened; Frightened; Stunned; Unconscious,,,,184,SRD 5.2.1,300,https://media.dndbeyond.com/compendium-images/srd/5.2/SRD_CC_v5.2.1.pdf
7,Young Green Dragon,8,18,4,4,3,3,4,2,False,0,Large,Dragon,Poisoned,,poison,,136,SRD 5.2.1,293,https://media.dndbeyond.com/compendium-images/srd/5.2/SRD_CC_v5.2.1.pdf
11,Aboleth,10,17,5,3,6,8,6,4,False,3,Large,Aberration,,,,,150,SRD 5.2.1,258,https://media.dndbeyond.com/compendium-images/srd/5.2/SRD_CC_v5.2.1.pdf
11,Stone Golem,10,18,6,-1,5,-4,0,-5,True,0,Large,Construct,Charmed; Exhaustion; Frightened; Paralyzed; Petrified; Poisoned,,poison; psychic,,220,SRD 5.2.1,330,https://media.dndbeyond.com/compendium-images/srd/5.2/SRD_CC_v5.2.1.pdf
11,Deva,10,17,4,4,4,3,9,9,True,0,Medium,Celestial,Charmed; Exhaustion; Frightened,radiant,,,229,SRD 5.2.1,279,https://media.dndbeyond.com/compendium-images/srd/5.2/SRD_CC_v5.2.1.pdf
11,Archmage,12,17,0,2,1,9,6,3,True,0,Medium,Humanoid,Charmed,,psychic,,170,SRD 5.2.1,305,https://media.dndbeyond.com/compendium-images/srd/5.2/SRD_CC_v5.2.1.pdf
11,Adult White Dragon,13,18,6,5,6,-1,6,1,False,3,Huge,Dragon,,,cold,,200,SRD 5.2.1,340,https://media.dndbeyond.com/compendium-images/srd/5.2/SRD_CC_v5.2.1.pdf
11,Vampire,13,16,4,9,9,3,7,9,False,3,Medium,Undead,,necrotic,,,195,SRD 5.2.1,335,https://media.dndbeyond.com/compendium-images/srd/5.2/SRD_CC_v5.2.1.pdf
